Subject,Date,Body,filepath
Adobe Releases Security Updates for ColdFusion and InDesign,"Tue, 11 Jul 2023 20:16:37 +0000","    Adobe Releases Security Updates for ColdFusion and InDesignYou are subscribed to Cybersecurity Advisories for Cybersecurity and Infrastructure Security Agency. This information has recently been updated, and is now available.Adobe Releases Security Updates for ColdFusion and InDesign 07/11/2023  08:00 AM EDTAdobe has released security updates to address vulnerabilities affecting ColdFusion and InDesign. An attacker can exploit some of these vulnerabilities to take control of an affected system.CISA encourages users and administrators to review the Adobe security releases APSB23-38 and APSB23-40 and apply the necessary updates.",/Users/Jupiter/Desktop/Python_for_Data_Science/ChatGPT4All_good/spam_data/Adobe_Releases_Security_Updates_for_ColdFusion_and_InDesign/index.html
Mozilla Releases Security Update for Firefox and Firefox ESR,"Tue, 11 Jul 2023 19:14:11 +0000","    Mozilla Releases Security Update for Firefox and Firefox ESRYou are subscribed to Cybersecurity Advisories for Cybersecurity and Infrastructure Security Agency. This information has recently been updated, and is now available.Mozilla Releases Security Update for Firefox and Firefox ESR 07/11/2023  03:00 PM EDTMozilla has released a security update to address a vulnerability in Firefox and Firefox ESR. An attacker could exploit this vulnerability to take control of an affected system.CISA encourages users and administrators to review Mozilla Security Advisory MFSA 2023-26 and apply the necessary update.",/Users/Jupiter/Desktop/Python_for_Data_Science/ChatGPT4All_good/spam_data/Mozilla_Releases_Security_Update_for_Firefox_and_Firefox_ESR/index.html
CISA Releases Four Industrial Control Systems Advisories,"Tue, 11 Jul 2023 19:11:20 +0000","    CISA Releases Four Industrial Control Systems AdvisoriesYou are subscribed to Cybersecurity Advisories for Cybersecurity and Infrastructure Security Agency. This information has recently been updated, and is now available.CISA Releases Four Industrial Control Systems Advisories 07/11/2023  03:00 PM EDTCISA released four Industrial Control Systems (ICS) advisories on July 11, 2023. These advisories provide timely information about current security issues, vulnerabilities, and exploits surrounding ICS. ICSA-23-192-01 Rockwell Automation Enhanced HIMICSA-23-192-02 Sensormatic Electronics iSTARICSA-23-192-03 Panasonic Control FPWin Pro7ICSA-23-180-04 Mitsubishi Electric MELSEC-F Series (Update A) CISA encourages users and administrators to review the newly released ICS advisories for technical details and mitigations.",/Users/Jupiter/Desktop/Python_for_Data_Science/ChatGPT4All_good/spam_data/CISA_Releases_Four_Industrial_Control_Systems_Advisories/index.html
CISA Adds One Known Vulnerability to Catalog,"Fri, 07 Jul 2023 18:17:49 +0000","    CISA Adds One Known Vulnerability to CatalogYou are subscribed to Cybersecurity Advisories for Cybersecurity and Infrastructure Security Agency. This information has recently been updated, and is now available.CISA Adds One Known Vulnerability to Catalog 07/07/2023  08:00 AM EDTCISA has added one new vulnerability to its Known Exploited Vulnerabilities Catalog, based on evidence of active exploitation. CVE-2021-29256  Arm Mali GPU Kernel Driver Use-After-Free VulnerabilityThese types of vulnerabilities are frequent attack vectors for malicious cyber actors and pose significant risks to the federal enterprise. Note: To view other newly added vulnerabilities in the catalog, click on the arrow in the ""Date Added to Catalog"" column—which will sort by descending dates.Binding Operational Directive (BOD) 22-01: Reducing the Significant Risk of Known Exploited Vulnerabilities established the Known Exploited Vulnerabilities Catalog as a living list of known Common Vulnerabilities and Exposures (CVEs) that carry significant risk to the federal enterprise. BOD 22-01 requires Federal Civilian Executive Branch (FCEB) agencies to remediate identified vulnerabilities by the due date to protect FCEB networks against active threats. See the BOD 22-01 Fact Sheet for more information.Although BOD 22-01 only applies to FCEB agencies, CISA strongly urges all organizations to reduce their exposure to cyberattacks by prioritizing timely remediation of Catalog vulnerabilities as part of their vulnerability management practice. CISA will continue to add vulnerabilities to the catalog that meet the specified criteria.",/Users/Jupiter/Desktop/Python_for_Data_Science/ChatGPT4All_good/spam_data/CISA_Adds_One_Known_Vulnerability_to_Catalog/index.html
Progress Software Releases Service Pack for MOVEit Transfer Vulnerabilities,"Fri, 07 Jul 2023 17:51:39 +0000","    Progress Software Releases Service Pack for MOVEit Transfer VulnerabilitiesYou are subscribed to Cybersecurity Advisories for Cybersecurity and Infrastructure Security Agency. This information has recently been updated, and is now available.Progress Software Releases Service Pack for MOVEit Transfer Vulnerabilities 07/07/2023  08:00 AM EDTProgress Software has released a Service Pack to address three newly disclosed vulnerabilities ( CVE-2023-36934 ,  CVE-2023-36932 ,  CVE-2023-36933 ) in MOVEit Transfer. A cyber threat actor could exploit some of these vulnerabilities to obtain sensitive information. CISA encourages users to review Progress Software’s MOVEit Transfer article and apply product updates as applicable for security improvements.",/Users/Jupiter/Desktop/Python_for_Data_Science/ChatGPT4All_good/spam_data/Progress_Software_Releases_Service_Pack_for_MOVEit_Transfer_Vulnerabilities/index.html
CISA Releases Three Industrial Control Systems Advisories,"Thu, 06 Jul 2023 17:35:28 +0000","    CISA Releases Three Industrial Control Systems AdvisoriesYou are subscribed to Cybersecurity Advisories for Cybersecurity and Infrastructure Security Agency. This information has recently been updated and is now available.CISA Releases Three Industrial Control Systems Advisories 07/06/2023  01:00 PM EDTCISA has released three Industrial Control Systems (ICS) advisories on July 6, 2023. These advisories provide timely information about current security issues, vulnerabilities, and exploits surrounding ICS.CISA encourages users and administrators to review the newly released ICS advisory for technical details and mitigations:ICSA-23-187-01 PiiGAB M-BusICSA-23-187-02 ABUS TVIPICSA-23-143-03 Mitsubishi Electric MELSEC Series CPU module (Update A)",/Users/Jupiter/Desktop/Python_for_Data_Science/ChatGPT4All_good/spam_data/CISA_Releases_Three_Industrial_Control_Systems_Advisories/index.html
"Mozilla Releases Security Advisories for Thunderbird, Firefox, and Firefox ESR","Thu, 06 Jul 2023 17:31:00 +0000","    Mozilla Releases Security Advisories for Thunderbird, Firefox, and Firefox ESRYou are subscribed to Cybersecurity Advisories for Cybersecurity and Infrastructure Security Agency. This information has recently been updated, and is now available.Mozilla Releases Security Advisories for Thunderbird, Firefox, and Firefox ESR 07/06/2023  01:00 PM EDTMozilla has released security advisories to address vulnerabilities in Thunderbird, Firefox, and Firefox ESR. A cyber threat actor could exploit some of these vulnerabilities to take control of an affected system. CISA encourages users and administrators to review the following advisories and apply the necessary updates:Security Vulnerabilities fixed in Firefox 115 Mozilla Foundation Security Advisory 2023-24Security Vulnerabilities fixed in Firefox ESR 102.13 Mozilla Foundation Security Advisory 2023-23Security Vulnerabilities fixed in Thunderbird 102.13  Mozilla Foundation Security Advisory 2023-22",/Users/Jupiter/Desktop/Python_for_Data_Science/ChatGPT4All_good/spam_data/Mozilla_Releases_Security_Advisories_for_Thunderbird__Firefox__and_Firefox_ESR/index.html
CISA and Partners Release Joint Cybersecurity Advisory on Newly Identified Truebot Malware Variants,"Thu, 06 Jul 2023 17:31:21 +0000","    CISA and Partners Release Joint Cybersecurity Advisory on Newly Identified Truebot Malware VariantsYou are subscribed to Cybersecurity Advisories for Cybersecurity and Infrastructure Security Agency. This information has recently been updated, and is now available.CISA and Partners Release Joint Cybersecurity Advisory on Newly Identified Truebot Malware Variants 07/06/2023  01:00 PM EDTToday, the Cybersecurity and Infrastructure Security Agency (CISA), Federal Bureau of Investigations (FBI), the Multi-State Information Sharing and Analysis Center (MS-ISAC), and the Canadian Centre for Cyber Security (CCCS) released a joint Cybersecurity Advisory (CSA), Increased Truebot Activity Infects U.S. and Canada Based Networks, to help organizations detect and protect against newly identified Truebot malware variants. Based on confirmation from open-source reporting and analytical findings of Truebot variants, the four organizations assess cyber threat actors leveraged the malware through phishing campaigns containing malicious redirect hyperlinks.Additionally, newer versions of Truebot malware allow malicious actors to gain initial access by exploiting a known vulnerability with Netwrix Auditor application ( CVE-2022-31199 ). As recently as May 2023, cyber threat actors used this common vulnerability and exposure to deliver new Truebot malware variants and to collect and exfiltrate information against organizations in the U.S. and Canada.CISA, FBI, MS-ISAC, and the CCCS encourage all organizations to review this joint advisory and implement the recommended mitigations contained therein—including applying patches to  CVE-2022-31199 , to reduce the likelihood and impact of Truebot activity, as well as other ransomware related incidents. To report incidents and anomalous activity, please contact one of the following organizations:CISA, either through the agency’s online tool (cisa.gov/report) or the 24/7 Operations Center at report@cisa.gov or (888) 282-0870.FBI via a local field office.State, local, tribal, and territorial (SLTT) government entities can report to the MS-ISAC (SOC@cisecurity.org or 866-787-4522).Organizations are also encouraged to visit StopRansomware.gov—which provides a range of free U.S. government resources and services that can help bolster cyber hygiene, cybersecurity posture and reduce risk to ransomware, and contains an updated Joint #StopRansomware Guide.",/Users/Jupiter/Desktop/Python_for_Data_Science/ChatGPT4All_good/spam_data/CISA_and_Partners_Release_Joint_Cybersecurity_Advisory_on_Newly_Identified_Truebot_Malware_Variants/index.html
DoS and DDoS Attacks against Multiple Sectors,"Fri, 30 Jun 2023 16:10:01 +0000","    DoS and DDoS Attacks against Multiple SectorsYou are subscribed to Cybersecurity Advisories for Cybersecurity and Infrastructure Security Agency. This information has recently been updated and is now available.DoS and DDoS Attacks against Multiple Sectors 06/30/2023  12:00 PM EDTCISA is aware of open-source reporting of targeted denial-of-service (DoS) and distributed denial-of-service (DDoS) attacks against multiple organizations in multiple sectors. These attacks can cost an organization time and money and may impose reputational costs while resources and services are inaccessible.If you think you or your business is experiencing a DoS or DDoS attack, it is important to contact the appropriate technical professionals for assistance.Contact your network administrator to confirm whether the service outage is due to maintenance or an in-house network issue. Network administrators can also monitor network traffic to confirm the presence of an attack, identify the source, and mitigate the situation by applying firewall rules and possibly rerouting traffic through a DoS protection service.Contact your internet service provider to ask if there is an outage on their end or if their network is the target of an attack and you are an indirect victim. They may be able to advise you on an appropriate course of action.Organizations can take proactive steps to reduce the effects of an attack—See the following guidance for more information:Understanding and Responding to Distributed Denial-of-Service AttacksAdditional DDoS Guidance for Federal Agencies",/Users/Jupiter/Desktop/Python_for_Data_Science/ChatGPT4All_good/spam_data/DoS_and_DDoS_Attacks_against_Multiple_Sectors/index.html
2023 CWE Top 25 Most Dangerous Software Weaknesses,"Thu, 29 Jun 2023 18:07:48 +0000","    2023 CWE Top 25 Most Dangerous Software WeaknessesYou are subscribed to Cybersecurity Advisories for Cybersecurity and Infrastructure Security Agency. This information has recently been updated, and is now available.2023 CWE Top 25 Most Dangerous Software Weaknesses 06/29/2023  02:00 PM EDTThe Homeland Security Systems Engineering and Development Institute, sponsored by the Department of Homeland Security and operated by MITRE, has released the 2023 Common Weakness Enumeration (CWE) Top 25 Most Dangerous Software Weaknesses. The CWE Top 25 is calculated by analyzing public vulnerability data in the National Vulnerability Data (NVD) for root cause mappings to CWE weaknesses for the previous two calendar years. These weaknesses lead to serious vulnerabilities in software. An attacker can often exploit these vulnerabilities to take control of an affected system, steal data, or prevent applications from working. The 2023 CWE Top 25 also incorporates updated weakness data for recent CVE records in the dataset that are part of CISA’s Known Exploited Vulnerabilities Catalog (KEV). CISA encourages developers and product security response teams to review the CWE Top 25 and evaluate recommended mitigations to determine those most suitable to adopt. Over the coming weeks, the CWE program will be publishing a series of further articles on the CWE Top 25 methodology, vulnerability mapping trends, and other useful information that help illustrate how vulnerability management plays an important role in Shifting the Balance of Cybersecurity Risk.",/Users/Jupiter/Desktop/Python_for_Data_Science/ChatGPT4All_good/spam_data/2023_CWE_Top_25_Most_Dangerous_Software_Weaknesses/index.html
CISA Adds Eight Known Exploited Vulnerabilities to Catalog,"Thu, 29 Jun 2023 17:57:18 +0000","    CISA Adds Eight Known Exploited Vulnerabilities to CatalogYou are subscribed to Cybersecurity Advisories for Cybersecurity and Infrastructure Security Agency. This information has recently been updated and is now available.CISA Adds Eight Known Exploited Vulnerabilities to Catalog 06/29/2023  01:45 PM EDTCISA has added eight new vulnerabilities to its Known Exploited Vulnerabilities Catalog, based on evidence of active exploitation. CVE-2019-17621  D-Link DIR-859 Router Command Execution Vulnerability CVE-2019-20500  D-Link DWL-2600AP Access Point Command Injection Vulnerability CVE-2021-25487  Samsung Mobile Devices Out-of-Bounds Read Vulnerability CVE-2021-25489  Samsung Mobile Devices Improper Input Validation Vulnerability CVE-2021-25394  Samsung Mobile Devices Race Condition Vulnerability CVE-2021-25395  Samsung Mobile Devices Race Condition Vulnerability CVE-2021-25371  Samsung Mobile Devices Unspecified Vulnerability CVE-2021-25372  Samsung Mobile Devices Improper Boundary Check VulnerabilityThese types of vulnerabilities are frequent attack vectors for malicious cyber actors and pose significant risks to the federal enterprise. Note: To view other newly added vulnerabilities in the catalog, click on the arrow in the ""Date Added to Catalog"" column—which will sort by descending dates.Binding Operational Directive (BOD) 22-01: Reducing the Significant Risk of Known Exploited Vulnerabilities established the Known Exploited Vulnerabilities Catalog as a living list of known Common Vulnerabilities and Exposures (CVEs) that carry significant risk to the federal enterprise. BOD 22-01 requires Federal Civilian Executive Branch (FCEB) agencies to remediate identified vulnerabilities by the due date to protect FCEB networks against active threats. See the BOD 22-01 Fact Sheet for more information.Although BOD 22-01 only applies to FCEB agencies, CISA strongly urges all organizations to reduce their exposure to cyberattacks by prioritizing timely remediation of Catalog vulnerabilities as part of their vulnerability management practice. CISA will continue to add vulnerabilities to the catalog that meet the specified criteria.",/Users/Jupiter/Desktop/Python_for_Data_Science/ChatGPT4All_good/spam_data/CISA_Adds_Eight_Known_Exploited_Vulnerabilities_to_Catalog/index.html
CISA and NSA Release Joint Guidance on Defending Continuous Integration/Continuous Delivery (CI/CD) Environments,"Wed, 28 Jun 2023 18:40:09 +0000","    CISA and NSA Release Joint Guidance on Defending Continuous Integration/Continuous Delivery (CI/CD) EnvironmentsYou are subscribed to Cybersecurity Advisories for Cybersecurity and Infrastructure Security Agency. This information has recently been updated and is now available.CISA and NSA Release Joint Guidance on Defending Continuous Integration/Continuous Delivery (CI/CD) Environments 06/28/2023  02:30 PM EDTToday, CISA, together with the National Security Agency (NSA), released a Cybersecurity Information Sheet (CSI) to provide recommendations and best practices for organizations to strengthen the security of their CI/CD pipelines against the threat of malicious cyber actors (MCAs).Recognizing the various types of security threats that could affect CI/CD operations and taking steps to defend against each one is critical in securing a CI/CD environment. Organizations will find in this guide a list of common risks found in CI/CD pipelines and attack surfaces that could be exploited and threaten network security.     CISA and NSA encourage all organizations to review this CSI and apply the recommended actions.",/Users/Jupiter/Desktop/Python_for_Data_Science/ChatGPT4All_good/spam_data/CISA_and_NSA_Release_Joint_Guidance_on_Defending_Continuous_Integration_Continuous_Delivery__CI_CD__Environments/index.html
"Vulnerability Summary for the Week of June 19, 2023","Tue, 27 Jun 2023 15:31:38 +0000","    Vulnerability Summary for the Week of June 19, 2023You are subscribed to Vulnerability Bulletins for Cybersecurity and Infrastructure Security Agency. This information has recently been updated, and is now available.Vulnerability Summary for the Week of June 19, 2023 06/26/2023  07:44 AM EDTThe CISA Vulnerability Bulletin provides a summary of new vulnerabilities that have been recorded by the National Institute of Standards and Technology (NIST) National Vulnerability Database (NVD) in the past week. NVD is sponsored by CISA. In some cases, the vulnerabilities in the bulletin may not yet have assigned CVSS scores. Please visit NVD for updated vulnerability entries, which include CVSS scores once they are available.Vulnerabilities are based on the Common Vulnerabilities and Exposures (CVE) vulnerability naming standard and are organized according to severity, determined by the Common Vulnerability Scoring System (CVSS) standard. The division of high, medium, and low severities correspond to the following scores:High: vulnerabilities with a CVSS base score of 7.0–10.0Medium: vulnerabilities with a CVSS base score of 4.0–6.9Low: vulnerabilities with a CVSS base score of 0.0–3.9Entries may include additional information provided by organizations and efforts sponsored by CISA. This information may include identifying information, values, definitions, and related links. Patch information is provided when available. Please note that some of the information in the bulletin is compiled from external, open-source reports and is not a direct result of CISA analysis.High VulnerabilitiesPrimaryVendor -- ProductDescriptionPublishedCVSS ScoreSource & Patch Infozyxel -- nas326_firmwareThe pre-authentication command injection vulnerability in the Zyxel NAS326 firmware versions prior to V5.21(AAZF.14)C0, NAS540 firmware versions prior to V5.21(AATB.11)C0, and NAS542 firmware versions prior to V5.21(ABAG.11)C0 could allow an unauthenticated attacker to execute some operating system (OS) commands remotely by sending a crafted HTTP request.2023-06-199.8 CVE-2023-27992 MISCmarksoft -- marksoftImproper Neutralization of Special Elements used in an SQL Command ('SQL Injection') vulnerability in Marksoft allows SQL Injection.This issue affects Marksoft: through Mobile:v.7.1.7 ; Login:1.4 ; API:20230605.2023-06-199.8 CVE-2023-2907 MISCwordpress -- wordpressThe MStore API plugin for WordPress is vulnerable to Unauthenticated Blind SQL Injection via the 'id' parameter in versions up to, and including, 4.0.1 due to insufficient escaping on the user supplied parameters and lack of sufficient preparation on the existing SQL query. This makes it possible for unauthenticated attackers to append additional SQL queries into already existing queries that can be used to extract sensitive information from the database.2023-06-249.8 CVE-2023-3197 MISCMISCsimple_customer_relationship_management -- simple_customer_relationship_managementSimple Customer Relationship Management 1.0 is vulnerable to SQL Injection via the email parameter.2023-06-169.8 CVE-2023-34548 MISCjeecg_boot -- jeecg_bootjeecg-boot 3.5.0 and 3.5.1 have a SQL injection vulnerability the id parameter of the /jeecg-boot/jmreport/show interface.2023-06-169.8 CVE-2023-34659 MISCtp-link -- archer_ax10_firmwareTP-Link Archer AX10(EU)_V1.2_230220 was discovered to contain a buffer overflow via the function FUN_131e8 - 0x132B4.2023-06-169.8 CVE-2023-34832 MISCMISCMISCMISCprogress -- moveit_transferIn Progress MOVEit Transfer before 2021.0.8 (13.0.8), 2021.1.6 (13.1.6), 2022.0.6 (14.0.6), 2022.1.7 (14.1.7), and 2023.0.3 (15.0.3), a SQL injection vulnerability has been identified in the MOVEit Transfer web application that could allow an unauthenticated attacker to gain unauthorized access to MOVEit Transfer's database. An attacker could submit a crafted payload to a MOVEit Transfer application endpoint that could result in modification and disclosure of MOVEit database content. These are fixed versions of the DLL drop-in: 2020.1.10 (12.1.10), 2021.0.8 (13.0.8), 2021.1.6 (13.1.6), 2022.0.6 (14.0.6), 2022.1.7 (14.1.7), and 2023.0.3 (15.0.3).2023-06-169.8 CVE-2023-35708 MISCMISCMISCwordpress -- wordpressThe CMS Commander plugin for WordPress is vulnerable to authorization bypass due to the use of an insufficiently unique cryptographic signature on the 'cmsc_add_site' function in versions up to, and including, 2.287. This makes it possible for unauthenticated attackers to the plugin to change the '_cmsc_public_key' in the plugin config, providing access to the plugin's remote control functionalities, such as creating an admin access URL, which can be used for privilege escalation. This can only be exploited if the plugin has not been configured yet, however, if combined with another arbitrary plugin installation and activation vulnerability, the impact can be severe.2023-06-208.",/Users/Jupiter/Desktop/Python_for_Data_Science/ChatGPT4All_good/spam_data/Vulnerability_Summary_for_the_Week_of_June_19__2023/index.html
CISA Adds Five Known Exploited Vulnerabilities to Catalog,"Fri, 23 Jun 2023 19:14:13 +0000","    CISA Adds Five Known Exploited Vulnerabilities to CatalogYou are subscribed to Cybersecurity Advisories for Cybersecurity and Infrastructure Security Agency. This information has recently been updated and is now available.CISA Adds Five Known Exploited Vulnerabilities to Catalog 06/23/2023  03:00 PM EDTCISA has added five new vulnerabilities to its Known Exploited Vulnerabilities Catalog, based on evidence of active exploitation. CVE-2023-32434  Apple Multiple Products Integer Overflow Vulnerability CVE-2023-32435  Apple iOS and iPadOS WebKit Memory Corruption Vulnerability CVE-2023-32439  Apple iOS, iPadOS, and macOS WebKit Type Confusion Vulnerability CVE-2023-20867  VMware Tools Authentication Bypass Vulnerability CVE-2023-27992  Mozilla Firefox, Firefox ESR, and Thunderbird Use-After-Free VulnerabilityThese types of vulnerabilities are frequent attack vectors for malicious cyber actors and pose significant risks to the federal enterprise. Note: To view other newly added vulnerabilities in the catalog, click on the arrow in the ""Date Added to Catalog"" column—which will sort by descending dates.Binding Operational Directive (BOD) 22-01: Reducing the Significant Risk of Known Exploited Vulnerabilities established the Known Exploited Vulnerabilities Catalog as a living list of known Common Vulnerabilities and Exposures (CVEs) that carry significant risk to the federal enterprise. BOD 22-01 requires Federal Civilian Executive Branch (FCEB) agencies to remediate identified vulnerabilities by the due date to protect FCEB networks against active threats. See the BOD 22-01 Fact Sheet for more information.Although BOD 22-01 only applies to FCEB agencies, CISA strongly urges all organizations to reduce their exposure to cyberattacks by prioritizing timely remediation of Catalog vulnerabilities as part of their vulnerability management practice. CISA will continue to add vulnerabilities to the catalog that meet the specified criteria.",/Users/Jupiter/Desktop/Python_for_Data_Science/ChatGPT4All_good/spam_data/CISA_Adds_Five_Known_Exploited_Vulnerabilities_to_Catalog/index.html
VMware Releases Security Update for vCenter Server and Cloud Foundation,"Fri, 23 Jun 2023 18:56:23 +0000",    VMware Releases Security Update for vCenter Server and Cloud FoundationYou are subscribed to Cybersecurity Advisories for Cybersecurity and Infrastructure Security Agency. This information has recently been updated and is now available.VMware Releases Security Update for vCenter Server and Cloud Foundation 06/23/2023  03:00 PM EDTVMware has released a security update to address multiple memory corruption vulnerabilities in vCenter Server and Cloud Foundation. A cyber threat actor could exploit these vulnerabilities to take control of an affected system.CISA encourages users and administrators to review VMware Security Advisory VMSA-2023-0014 and apply the necessary updates.,/Users/Jupiter/Desktop/Python_for_Data_Science/ChatGPT4All_good/spam_data/VMware_Releases_Security_Update_for_vCenter_Server_and_Cloud_Foundation/index.html
Apple Releases Security Updates for Multiple Products,"Thu, 22 Jun 2023 19:26:21 +0000",    Apple Releases Security Updates for Multiple ProductsYou are subscribed to Cybersecurity Advisories for Cybersecurity and Infrastructure Security Agency. This information has recently been updated and is now available.Apple Releases Security Updates for Multiple Products 06/22/2023  03:00 PM EDTApple has released security updates to address vulnerabilities in multiple products. An attacker could exploit some of these vulnerabilities to take control of an affected device.CISA encourages users and administrators to review the following advisories and apply the necessary updates.watchOS 8.8.1macOS Big Sur 11.7.8macOS Monterey 12.6.7iOS 15.7.7 and iPadOS 15.7.7watchOS 9.5.2macOS Ventura 13.4.1iOS 16.5.1 and iPadOS 16.5.1,/Users/Jupiter/Desktop/Python_for_Data_Science/ChatGPT4All_good/spam_data/Apple_Releases_Security_Updates_for_Multiple_Products_1/index.html
ISC Releases Security Advisories for Multiple Versions of BIND 9,"Thu, 22 Jun 2023 18:04:18 +0000","    ISC Releases Security Advisories for Multiple Versions of BIND 9You are subscribed to Cybersecurity Advisories for Cybersecurity and Infrastructure Security Agency. This information has recently been updated and is now available.ISC Releases Security Advisories for Multiple Versions of BIND 9 06/22/2023  02:00 PM EDTThe Internet Systems Consortium (ISC) has released security advisories that address vulnerabilities affecting multiple versions of the ISC’s Berkeley Internet Name Domain (BIND) 9. A remote attacker could exploit these vulnerabilities to potentially cause denial-of-service conditions.CISA encourages users and administrators to review the following ISC advisories  CVE-2023-2828 ,  CVE-2023-2829 , and  CVE-2023-2911  and apply the necessary mitigations.",/Users/Jupiter/Desktop/Python_for_Data_Science/ChatGPT4All_good/spam_data/ISC_Releases_Security_Advisories_for_Multiple_Versions_of_BIND_9/index.html
Juniper Networks Releases Security Advisory for Junos OS and Junos OS Evolved,"Thu, 22 Jun 2023 17:13:13 +0000","    Juniper Networks Releases Security Advisory for Junos OS and Junos OS EvolvedYou are subscribed to Cybersecurity Advisories for Cybersecurity and Infrastructure Security Agency. This information has recently been updated, and is now available.Juniper Networks Releases Security Advisory for Junos OS and Junos OS Evolved 06/22/2023  01:00 PM EDTJuniper Networks has released a security advisory that addresses a vulnerability in Junos OS and Junos OS Evolved. A remote attacker could exploit this vulnerability to cause a denial-of-service condition.CISA encourages users and administrators to review the Juniper Security Advisory for  CVE-2023-0026  and apply the necessary updates.",/Users/Jupiter/Desktop/Python_for_Data_Science/ChatGPT4All_good/spam_data/Juniper_Networks_Releases_Security_Advisory_for_Junos_OS_and_Junos_OS_Evolved/index.html
CISA Adds Six Known Exploited Vulnerabilities to Catalog,"Thu, 22 Jun 2023 16:00:33 +0000","    CISA Adds Six Known Exploited Vulnerabilities to CatalogYou are subscribed to Cybersecurity Advisories for Cybersecurity and Infrastructure Security Agency. This information has recently been updated, and is now available.CISA Adds Six Known Exploited Vulnerabilities to Catalog 06/22/2023  11:30 AM EDTCISA has added six new vulnerabilities to its Known Exploited Vulnerabilities Catalog, based on evidence of active exploitation. CVE-2023-20887  VMware Aria Operations for Networks Command Injection Vulnerability CVE-2020-35730  Roundcube Webmail Cross-Site Scripting (XSS) Vulnerability CVE-2020-12641  Roundcube Webmail Remote Code Execution Vulnerability CVE-2021-44026  Roundcube Webmail SQL Injection Vulnerability CVE-2016-9079  Mozilla Firefox, Firefox ESR, and Thunderbird Use-After-Free Vulnerability CVE-2016-0165  Microsoft Win32k Privilege Escalation VulnerabilityThese types of vulnerabilities are frequent attack vectors for malicious cyber actors and pose significant risks to the federal enterprise. Note: To view other newly added vulnerabilities in the catalog, click on the arrow in the ""Date Added to Catalog"" column—which will sort by descending dates.Binding Operational Directive (BOD) 22-01: Reducing the Significant Risk of Known Exploited Vulnerabilities established the Known Exploited Vulnerabilities Catalog as a living list of known Common Vulnerabilities and Exposures (CVEs) that carry significant risk to the federal enterprise. BOD 22-01 requires Federal Civilian Executive Branch (FCEB) agencies to remediate identified vulnerabilities by the due date to protect FCEB networks against active threats. See the BOD 22-01 Fact Sheet for more information.Although BOD 22-01 only applies to FCEB agencies, CISA strongly urges all organizations to reduce their exposure to cyberattacks by prioritizing timely remediation of Catalog vulnerabilities as part of their vulnerability management practice. CISA will continue to add vulnerabilities to the catalog that meet the specified criteria.",/Users/Jupiter/Desktop/Python_for_Data_Science/ChatGPT4All_good/spam_data/CISA_Adds_Six_Known_Exploited_Vulnerabilities_to_Catalog/index.html
CISA Releases Four Industrial Control Systems Advisories,"Thu, 22 Jun 2023 16:00:17 +0000","    CISA Releases Four Industrial Control Systems AdvisoriesYou are subscribed to Cybersecurity Advisories for Cybersecurity and Infrastructure Security Agency. This information has recently been updated and is now available.CISA Releases Four Industrial Control Systems Advisories 06/22/2023  11:30 AM EDTCISA released four Industrial Control Systems (ICS) advisories on June 22, 2023. These advisories provide timely information about current security issues, vulnerabilities, and exploits surrounding ICS. ICSA-23-173-02 Advantech R-SeeNetICSA-23-173-03 SpiderControl SCADAWebServerICSA-23-026-02 Econolite EOS (Update A)ICSA-23-061-01 Mitsubishi Electric MELSEC iQ-F Series (Update A)CISA encourages users and administrators to review the newly released ICS advisories for technical details and mitigations.",/Users/Jupiter/Desktop/Python_for_Data_Science/ChatGPT4All_good/spam_data/CISA_Releases_Four_Industrial_Control_Systems_Advisories_1/index.html
Progress Software Releases Security Advisory for MOVEit Transfer Vulnerability,"Fri, 16 Jun 2023 01:52:26 +0000","    Progress Software Releases Security Advisory for MOVEit Transfer VulnerabilityYou are subscribed to Cybersecurity Advisories for Cybersecurity and Infrastructure Security Agency. This information has recently been updated, and is now available.Progress Software Releases Security Advisory for MOVEit Transfer Vulnerability 06/15/2023  08:00 AM EDTProgress Software has released a security advisory for a privilege escalation vulnerability in MOVEit Transfer—a Managed File Transfer Software. A cyber threat actor could exploit this vulnerability to take control of an affected system.CISA urges users and organizations to review the MOVEit Transfer advisory, follow the mitigation steps, and apply the necessary updates when available.",/Users/Jupiter/Desktop/Python_for_Data_Science/ChatGPT4All_good/spam_data/Progress_Software_Releases_Security_Advisory_for_MOVEit_Transfer_Vulnerability/index.html
